"root","class1","class1OrderLTR","class1OrderLINE","class1OrderSINE","class2"
288,145,265,128,294,237
206,206,206,212,337,247
247,87,87,339,157,206
164,164,164,223,317,172
269,189,189,171,178,223
342,342,342,257,184,94
87,257,257,207,338,342
172,222,222,189,266,186
223,212,212,87,288,204
94,223,223,262,155,87
212,106,165,115,148,182
257,172,172,186,180,254
163,274,247,172,197,250
189,247,325,217,320,336
204,204,94,209,112,257
229,207,204,104,108,308
222,269,163,342,291,195
246,94,229,256,335,179
274,234,310,206,296,216
310,310,187,96,208,174
97,95,95,271,170,117
187,114,207,164,212,249
106,200,200,229,124,310
182,229,241,214,334,229
95,97,97,135,92,244
200,308,308,252,342,215
186,155,114,255,141,178
207,182,209,175,119,222
308,241,182,325,202,180
99,209,227,216,201,121
255,255,106,204,164,209
195,176,269,230,303,340
180,165,199,97,171,135
241,199,255,222,189,230
199,180,176,253,88,212
165,325,334,236,214,217
214,163,274,228,87,110
227,334,116,291,336,253
176,227,217,321,323,300
215,117,155,159,195,199
334,215,180,334,276,205
325,116,273,245,186,255
209,273,234,225,302,228
116,214,214,152,325,214
249,91,215,166,126,138
196,196,117,251,328,309
155,249,298,95,183,119
211,246,240,199,136,108
265,187,249,278,308,164
217,298,142,176,246,265
298,217,230,224,331,334
174,210,242,213,301,97
234,193,246,108,221,318
230,302,226,319,341,197
117,99,174,314,173,127
121,314,89,239,166,246
302,307,115,202,227,314
240,226,193,120,181,173
282,195,178,129,329,207
307,174,122,269,340,319
193,119,307,330,271,302
119,115,103,309,270,282
170,194,210,127,304,95
194,142,127,240,149,190
110,129,195,155,172,332
91,242,302,180,140,183
142,211,99,281,191,238
127,170,192,261,234,325
114,127,119,170,110,225
238,240,238,231,218,306
250,306,314,117,104,243
150,122,170,338,314,203
115,238,129,191,204,191
89,89,309,122,194,240
306,110,216,310,333,111
173,265,306,193,316,208
273,286,286,173,203,311
244,192,186,92,145,200
138,216,121,249,74,198
332,178,332,150,198,89
129,250,138,94,240,116
286,309,211,121,299,99
